,Unnamed: 0,QId,QPostTypeId,QAcceptedAnswerId,QOwnerUserId,QAnswerCount,QCommentCount,QFavoriteCount,QCommunityOwnedDate,QCreationDate,QScore,QViewCount,QTitle,QBody,QTags,QStackTrace,Webpack,React,Express,Vue,Jest,Moment,Lodash,Asynchronous,Axios
6275,6275,34880685,1,0,1219336,1.0,0.0,0.0,0.0,2016-01-19T15:29:40.640,1.0,872.0,Trying to use axios to make API call in a React/Phoenix App (using Brunch),"<p>I'm trying to make use of the <a href=""https://github.com/mzabriskie/axios"" rel=""nofollow"">axios</a> library to call some API endpoints.</p>

<p>My project setup is a Phoenix app (with brunch for asset management) and a React app (all in the <code>web/static/js</code> directory)</p>

<p>Most npm modules are ok, I do: </p>

<p><code>npm install --save _module-name_</code></p>

<p>Then I add the module to the <code>brunch-config.js</code> into the <code>npm whitelist</code> array.</p>

<p>Which I've done with axios, so it doesn't complain that it cannot find the library.</p>

<p>However, when I try and use axios e.g <code>axios.post</code></p>

<p>I get the following error in the JS Console:</p>

<p><code>Cannot find module ""axios/lib/adapters/xhr""</code></p>

<p>It's like brunch isn't loading in the axios dependencies (even though I can see that file if i navigate to <code>node_modules/axios/lib/adapters</code></p>

<p>Has anyone had this issue (with any npm module and brunch/phoenix) and if so how do you go about fixing it?</p>

<p><strong>Update</strong></p>

<p>It seems to be a wider spread problem with brunch.</p>

<p>I also cannot use ""React-Bootstrap"" I get a similar error where it cannot find the sub-dependencies....</p>
",<node.js><npm><phoenix-framework><brunch><axios>,0.0,0,0,0,0,0,0,0,0,1
8378,8378,38087986,1,0,1417671,0.0,2.0,0.0,0.0,2016-06-28T23:39:40.227,0.0,201.0,Appending Props in React-Redux Form using Axios,"<p>I have an action that returns dispatch. Right now i am posting props... but i'd like to add a few peices like (uname, role, etc) to the request. What is he easiest way to do so?</p>

<p>I thought something like: </p>

<pre><code>const addlFields = { username: 'newTester', role: 'moderator' } 
</code></pre>

<p>Any good advice on how to get this done? Im assuming it is not an axios issue since axios and accepting the props obj.</p>

<p>My request</p>

<pre><code>const sendMessageRequest = axios.post(`${POST_MSG_URL}`, props)
  .then(response =&gt; {
    return dispatch =&gt; {
        dispatch(
          { type: POST_MESSAGE,
            payload: sendMessageRequest
          }
        );
    }
  });`
</code></pre>
",<javascript><reactjs><npm><redux><axios>,0.0,0,0,0,0,0,0,0,0,1
8962,8962,38857358,1,38877389,261159,1.0,0.0,0.0,0.0,2016-08-09T17:49:53.690,5.0,15797.0,Axios and Webpack,"<p>I'm really new to Webpack and I'm using axios with a React project. I installed axios via npm and then I'm importing it like so when I want to use it:</p>

<p><code>import axios from 'axios/dist/axios.min.js';</code></p>

<p>Webpack takes care of the rest. Is this the ""right"" way to do it?</p>
",<npm><webpack><axios>,0.0,1,0,0,0,0,0,0,0,1
12356,12356,42936406,1,42936794,7096798,4.0,1.0,0.0,0.0,2017-03-21T19:25:07.813,3.0,10972.0,installing package for react using npm,"<p>I am beginning with react at the moment coming from pure front end development with HTML, CSS and a bit of jquery. So I got no experience with package installation. I wanted to install axios using npm.</p>

<p>I started with <code>npm install</code> axios and it seemed to work. But I still get the error message ""axios is not defined"". What I missing? Do I have to right a dependency in my package.json? And if yes how do I right it?</p>

<p>Package.json</p>

<pre><code>{
  ""name"": ""first-webapp-react"",
  ""version"": ""1.0.0"",
  ""description"": """",
  ""main"": ""main.js"",
  ""private"": true,
  ""scripts"": {
    ""test"": ""echo \""Error: no test specified\"" &amp;&amp; exit 1"",
    ""watch"": ""watchify -v -d -t [ reactify --es6 ] main.js -o compiled.js"",
    ""build"": ""NODE_ENV=production browserify -t [ reactify --es6 ] main.js | uglifyjs &gt; compiled.js""
  },
  ""author"": ""BAGGID"",
  ""license"": ""MIT"",
  ""dependencies"": {
    ""moment"": ""^2.10.2"",
    ""react"": ""^0.13.2"",
    ""axios"": ""^0.15.3""
  },
  ""devDependencies"": {
    ""browserify"": ""^9.0.8"",
    ""reactify"": ""^1.1.0"",
    ""uglify-js"": ""^2.4.20"",
    ""watchify"": ""^3.1.2""
  }
}
</code></pre>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var React = require('react');

var TopBar = require('./Top-bar');
var ProductPage = require('./Product-page');
var Test = require('./test');


var App = React.createClass({

  getInitialState: function() {
    return {
      page: 'SearchResult',
      jobs: []
    };    
  },

  componentDidMount: function() {
    var _this = this;
    this.serverRequest = 
      axios.get(""http://codepen.io/jobs.json"")
        .then(function(result) {    
          _this.setState({
            jobs: result.data.jobs
          });
        })
  },

  componentWillUnmount: function() {
    this.serverRequest.abort();
  },

 render(){
    console.log('Person: ' + this.state.person);
  return (
   &lt;div&gt;
    &lt;TopBar /&gt;  
        &lt;ProductPage /&gt;
        &lt;Test /&gt;
   &lt;/div&gt;
  );
 }
});

module.exports = App;</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react.min.js""&gt;&lt;/script&gt;
&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react-dom.min.js""&gt;&lt;/script&gt;
&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head lang=""en""&gt;
 &lt;meta charset=""UTF-8""&gt;
 &lt;title&gt;React Test&lt;/title&gt;
 &lt;link href=""http://maxcdn.bootstrapcdn.com/bootswatch/3.3.4/flatly/bootstrap.min.css"" type=""text/css"" rel=""stylesheet"" /&gt;
 &lt;link href=""assets/css/styles.css"" type=""text/css"" rel=""stylesheet"" /&gt;
 &lt;link href=""assets/css/baggid-standart.css"" type=""text/css"" rel=""stylesheet"" /&gt;
 &lt;link href=""assets/css/login.css"" type=""text/css"" rel=""stylesheet"" /&gt;
 &lt;link href=""assets/css/button-stacking.css"" type=""text/css"" rel=""stylesheet"" /&gt;
&lt;/head&gt;
&lt;body&gt;

 &lt;div id=""main""&gt; 
 &lt;/div&gt;

 
 &lt;script src=""./compiled.js""&gt;&lt;/script&gt;
 &lt;script src=""https://unpkg.com/axios/dist/axios.min.js""&gt;&lt;/script&gt;

&lt;/body&gt;
&lt;/html&gt;</code></pre>
</div>
</div>
</p>
",<reactjs><npm><npm-install><axios>,0.0,0,0,0,0,0,0,0,0,1
12394,12394,42986747,1,45667270,1415614,2.0,0.0,0.0,0.0,2017-03-23T20:51:44.813,1.0,749.0,Whats the difference between axios and axios-es6 npm packages?,"<p>I'm new to npm and new to axios.  I'm looking to use axios in my next Vue2 based project to try it out but I'm unclear which axios to install.</p>

<p>axios: <a href=""https://www.npmjs.com/package/axios"" rel=""nofollow noreferrer"">https://www.npmjs.com/package/axios</a><br>
axios-es6: <a href=""https://www.npmjs.com/package/axios-es6"" rel=""nofollow noreferrer"">https://www.npmjs.com/package/axios-es6</a><br></p>

<p>I've googled around to find the difference between axios and axios-ex6 and not found much.  Maybe it's too basic of a question.  Is the difference that axios-ex6 requires an ex6 shim to run on older browsers but axios does not?  </p>
",<javascript><npm><vuejs2><axios>,0.0,0,0,0,0,0,0,0,0,1
15484,15484,46383777,1,0,7952388,0.0,3.0,0.0,0.0,2017-09-23T20:02:13.407,1.0,125.0,Inconsistent Imports in React (create-react-app),"<p>returning to React for the first time in a while and having some strange issues I'm having trouble resolving. It seems like my imports are behaving inconsistently and I'm not sure why that might be. Here's the file in question:</p>

<pre><code>import React from 'react';
import axios from 'axios';
import {VanillaPuddingApi} from '../components/constants';

class Clients extends React.Component {
  constructor(props){
   super(props)

   this.state={
    clients: []
   }
  }

  componentDidMount(){
   debugger;
    alert(VanillaPuddingApi)
    axios
     .get(`${VanillaPuddingApi}/clients`)
     .then(({data}) =&gt; {
      debugger;
      })
     .catch((errors)=&gt;{
       console.log(errors)
     })
    }


   render() {
    return (
     &lt;div&gt;
      {VanillaPuddingApi}
     &lt;/div&gt;
     );
   }
  }

export default Clients;
</code></pre>

<p>This file is rendered properly on the page by the <code>App.js</code> file from the default create-react-app directory. Additionally, the value of <code>VanillaPuddingApi</code> is properly rendered on the DOM. The first debugger in the <code>componentDidMount()</code> call is problematic- if I check the value of <code>VanillaPuddingApi</code> in the console on that line, I get the following error message:</p>

<pre><code>`Uncaught ReferenceError: VanillaPuddingApi is not defined
    at eval (eval at componentDidMount (Clients.js:15), &lt;anonymous&gt;:1:1)
    at Clients.componentDidMount (Clients.js:15)
    at ReactCompositeComponent.js:264
    at measureLifeCyclePerf (ReactCompositeComponent.js:75)
    at ReactCompositeComponent.js:263
    at CallbackQueue.notifyAll (CallbackQueue.js:76)
    at ReactReconcileTransaction.close (ReactReconcileTransaction.js:80)
    at ReactReconcileTransaction.closeAll (Transaction.js:209)
    at ReactReconcileTransaction.perform (Transaction.js:156)
    at batchedMountComponentIntoNode (ReactMount.js:126)
    at ReactDefaultBatchingStrategyTransaction.perform (Transaction.js:143)
    at Object.batchedUpdates (ReactDefaultBatchingStrategy.js:62)
    at Object.batchedUpdates (ReactUpdates.js:97)
    at Object._renderNewRootComponent (ReactMount.js:319)
    at Object._renderSubtreeIntoContainer (ReactMount.js:401)
    at Object.render (ReactMount.js:422)
    at Object../src/index.js (index.js:7)
    at __webpack_require__ (bootstrap d489f093a1a431f7a956:669)
    at fn (bootstrap d489f093a1a431f7a956:87)
    at Object.0 (test.js:11)
    at __webpack_require__ (bootstrap d489f093a1a431f7a956:669)
    at bootstrap d489f093a1a431f7a956:715
    at bundle.js:719`
</code></pre>

<p>Yet, on the very next line, this value is alerted out as expected. The real issue here is that Axios isn't working. When trying to run the <code>axios.get</code> line manually in the debugger, I get the same error as above. I did some digging and found people with similar issues who had issues with their webpack.config.js files, but mine looks unlike theirs did and this doesn't seem to explain my local importing issue.</p>

<pre><code>//webpack.config.js
module.exports = {
 module: {
  rules: [
   {
    test: /\.pug$/,
    use: [
    ""pug-loader?self"",
    ]
   },
   {
    test: /\.css$/,
    use: [
     ""style-loader"",
     ""css-loader""
    ],
   }
  ]
 }
};
</code></pre>

<p>and also my package.json file:</p>

<pre><code>//package.json
{
 ""name"": ""vanilla-pudding-frontend"",
 ""version"": ""0.1.0"",
 ""private"": true,
 ""dependencies"": {
  ""axios"": ""^0.16.2"",
  ""react"": ""^15.6.1"",
  ""react-dom"": ""^15.6.1"",
  ""react-router-dom"": ""^4.2.2""
 },
 ""devDependencies"": {
   ""react-scripts"": ""1.0.13""
  },
 ""scripts"": {
  ""start"": ""react-scripts start"",
  ""build"": ""react-scripts build"",
  ""test"": ""react-scripts test --env=jsdom"",
  ""eject"": ""react-scripts eject""
 }
}
</code></pre>

<p>and finally </p>

<pre><code>// components.constants
export const VanillaPuddingApi = ""http://localhost:5000/""
</code></pre>

<p>Any help much appreciated, thank you.</p>
",<reactjs><npm><axios><create-react-app>,1.0,0,1,0,0,0,0,0,0,1
15849,15849,46777394,1,0,4605525,1.0,1.0,0.0,0.0,2017-10-16T19:04:48.677,1.0,8023.0,getaddrinfo ENOTFOUND error on proxy with axios,"<p>I have one question is when I am hitting a proxy server using axios, I am getting below error, while using npm ""request"" module it works fine for me.</p>

<p>If anyone can please share thought on this.</p>

<p>Thanks in advance.</p>

<pre><code>Error: getaddrinfo ENOTFOUND http://digitalproxy.gslbext.ngco.com http://digitalproxy.gslbext.ngco.com:80
    at errnoException (dns.js:28:10)
    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:76:26)
code: 'ENOTFOUND',
  errno: 'ENOTFOUND',
  syscall: 'getaddrinfo',
</code></pre>
",<node.js><axios><npm-request>,1.0,0,0,0,0,0,0,0,0,1
17225,17225,48191719,1,0,4976564,0.0,1.0,0.0,0.0,2018-01-10T16:15:36.790,1.0,320.0,Unable to add authorisation in headers to a GET request using axios,"<p>Recently, I needed to access the API gateway in AWS using my localhost environment. I am using <a href=""https://www.npmjs.com/package/axios"" rel=""nofollow noreferrer"">axios</a> to do a <code>GET</code> request on the <code>API gateway</code> in AWS. The <code>GET</code> request requires an <code>Authorization</code> header in its request.</p>

<p>I used the following piece of the code</p>

<pre><code>axios({
method: 'GET',
url: ROOT_URL+'/users/me',
withCredentials: true,
headers: {'Authorization':idToken} });
</code></pre>

<p>I can see that my <code>Authorization</code> is not getting attached to my request headers. I am getting the following error </p>

<pre><code>message:""Missing Authentication Token""
</code></pre>

<p>I have also enabled cors request for my <code>API Gateway</code> in <code>AWS</code>. I am unable to understand what I am doing wrong while constructing the <code>GET</code> request using <a href=""https://www.npmjs.com/package/axios"" rel=""nofollow noreferrer"">axios</a>. Can somebody help me with this?</p>
",<amazon-web-services><npm><get><aws-api-gateway><axios>,0.0,0,0,0,0,0,0,0,0,1
18394,18394,49309861,1,0,9053629,1.0,4.0,0.0,0.0,2018-03-15T21:54:03.897,4.0,1231.0,Axios default headers in multiples instances or in sub Packages,"<p>How to set global default headers in Axios in dependencies that use Axios too?</p>

<p>I'm making a ""react component"" (public in npm) that depends on Axios but when that component makes an Ajax call, I need that component to keep the Axios config headers of my (parent) project.</p>

<p>*It looks like my ""react-component"" makes a new instance of Axios instead of using the Axios instance of my (parent) project.</p>

<pre><code>axios.defaults.headers['authKey']='xxxxxx'
</code></pre>

<p>*I already use the Axios interceptors in my (parent) project but the Ajax made for my ""react component"" is never triggered.</p>
",<javascript><reactjs><npm><axios>,0.0,0,0,0,0,0,0,0,0,1
19247,19247,50122914,1,0,3030419,1.0,1.0,0.0,0.0,2018-05-01T19:52:27.730,1.0,2915.0,HTTP response truncated in browser,"<p>I'm making an HTTP post request using axios. The body of the response is a large 4MB string.</p>

<pre><code>axios({
    method: 'POST',
    url: url,
    data: data,
    headers : headers,
})
.then(function (response) {
    console.log(response);
});
</code></pre>

<p>However, when I call this function from the browser, the response is truncated to 1024 characters (the full response is there in the Network tab).</p>

<p>Also, when I run this function in the terminal with Node, I get the full response.</p>

<p>How can I get the full response in my JavaScript code when running from the browser?</p>
",<javascript><npm><vue.js><axios>,0.0,0,0,0,1,0,0,0,0,1
