,Unnamed: 0,QId,QPostTypeId,QAcceptedAnswerId,QOwnerUserId,QAnswerCount,QCommentCount,QFavoriteCount,QCommunityOwnedDate,QCreationDate,QScore,QViewCount,QTitle,QBody,QTags,QStackTrace,Webpack,React,Express
8,8,5132607,1,5133143,602435,1.0,5.0,0.0,0.0,2011-02-27T10:17:41.070,0.0,3365.0,node.js express require?,"<p>In an example I see something like this: </p>

<p><code>var uid = require(""../support/express/support/connect/lib/connect/utils"").uid</code></p>

<p><code>var express = require(""express"")</code> is OK!</p>

<p><code>var uid = require(""express"").uid</code> is undefined</p>

<p>I installed express with npm.</p>

<p>How should I require the uid?</p>
",<node.js><require><express><npm>,0.0,0,0,1
9,9,5291027,1,5298643,80805,3.0,0.0,0.0,0.0,2011-03-13T17:20:32.353,15.0,73636.0,Node.js - cannot find module,"<p>I'm using <a href=""https://github.com/robrighter/node-boilerplate/"" rel=""nofollow noreferrer"">Node Boilerplate</a> and it all worked fine until I decided create another project on top of it (in another dir).</p>
<p>Now I have exactly the same code base (this project AS IS) in two different folders. I can run one of it without any problems but another one is failing with:</p>
<pre><code>% node app.js
node.js:116
        throw e; // process.nextTick error, or 'error' event on first tick
        ^
Error: Cannot find module 'connect/middleware/router'
    at Function._resolveFilename (module.js:299:11)
    at Function._load (module.js:245:25)
    at require (module.js:327:19)
    at Object.&lt;anonymous&gt; (/home/gotts/Sites/nodejs-uploadr/lib/express/lib/express/server.js:17:14)
    at Module._compile (module.js:383:26)
    at Object..js (module.js:389:10)
    at Module.load (module.js:315:31)
    at Function._load (module.js:276:12)
    at require (module.js:327:19)
    at Object.&lt;anonymous&gt; (/home/gotts/Sites/nodejs-uploadr/lib/express/lib/express/index.js:28:31)
</code></pre>
<p>There is a similar problem explained here - <a href=""https://github.com/visionmedia/express/issues/535"" rel=""nofollow noreferrer"">https://github.com/visionmedia/express/issues/535</a> which says that the problem is in the incompatible version of connect/express.</p>
<p>But how is this possible? The source code is exactly the same in two folders and it works fine in one copy and fails in another?</p>
",<node.js><express><npm><node.js-connect>,1.0,0,0,1
10,10,5353311,1,5353446,137100,3.0,1.0,0.0,0.0,2011-03-18T14:20:59.280,1.0,467.0,"Express package still ""require""-able after npm uninstall?","<p><code>npm uninstall express</code> successfully uninstalls express, and when I <code>ls $NODE_PATH</code>, it isn't there anymore.</p>

<p>However, if I run <code>node</code> and <code>require('express')</code>, I get</p>

<pre><code>{ version: '1.0.0rc2',
  Server: { [Function: Server] super_: { [Function: Server] super_: [Object] } },
  createServer: [Function] }
</code></pre>

<p>Why does this still happen? </p>

<p>The reason I'm playing around with Express is because (apparently) it breaks with a certain version of Connect. Does anyone know what successful combination of Express and Connect will work ?</p>

<p>Thanks!</p>
",<javascript><node.js><express><npm><node.js-connect>,0.0,0,0,1
17,17,5919629,1,5930879,441659,14.0,6.0,0.0,0.0,2011-05-07T07:08:38.483,47.0,67851.0,Express module not found when installed with NPM,"<p>When I try to run the <code>app.js</code> file created by express, I get the following error:</p>

<pre><code>$ node app.js

node.js:134
        throw e; // process.nextTick error, or 'error' event on first tick
        ^
Error: Cannot find module 'express'
    at Function._resolveFilename (module.js:320:11)
</code></pre>

<p>When I type in <code>express --version</code> I get a return statement of <code>2.3.3</code>. I used npm to install express. I had to manually make npm using these instructions:</p>

<pre><code>git clone http://github.com/isaacs/npm.git
cd npm
sudo make install
</code></pre>

<p>The error is <code>Error: Cannot find module 'express'</code>.</p>

<p>Do I need to do something after installing npm and express in order to make express see the modules created by npm?</p>

<ul>
<li>My node is version: 0.4.6</li>
<li>My express is version: 2.3.3</li>
<li>My npm is version: 1.0.6</li>
</ul>

<p>Express is installed globally. I used the <code>-g</code> flag to install it.</p>

<hr>

<p><strong>Edit:</strong> When I try <code>""node -e require.paths""</code> I get:</p>

<pre><code>[ '/home/user/.node_modules',
  '/home/user/.node_libraries',
  '/usr/local/lib/node' ]
</code></pre>

<p>So, node isn't detecting the npm installation. How do I get node to detect the npm installation?</p>
",<javascript><node.js><express><npm>,1.0,0,0,1
25,25,6103121,1,6103311,109341,7.0,1.0,0.0,0.0,2011-05-23T21:14:33.280,27.0,38318.0,express command not found in bash after installing it with npm,"<p>just installed new ubuntu vm to test around with node
installed things in this order:</p>

<pre><code>node
mongodb-server
npm
express
mongoose
</code></pre>

<p>now, trying to create a new app i noticed express cannot be used in the shell.
<code>express -v</code>  returns
express: command not found</p>

<p>i installed npm like this</p>

<pre><code>curl http://npmjs.org/install.sh | sudo sh
</code></pre>

<p>and i installed express this way</p>

<pre><code>npm install express
</code></pre>

<p>any ideas?</p>
",<bash><node.js><express><npm>,0.0,0,0,1
30,30,6278969,1,9921140,431498,2.0,6.0,0.0,0.0,2011-06-08T12:52:02.637,3.0,6869.0,"NPM Cannot Work! ""Error: ECONNREFUSED, Could not contact DNS servers""","<p>When I type ""npm install express"",It show these tips.</p>

<pre><code>soasme@ubuntu:~/Desktop/nodeex$ npm install express
npm ERR! Error: ECONNREFUSED, Could not contact DNS servers
npm ERR!     at IOWatcher.callback (dns.js:74:15)
npm ERR! Report this *entire* log at:
npm ERR!     &lt;http://github.com/isaacs/npm/issues&gt;
npm ERR! or email it to:
npm ERR!     &lt;npm-@googlegroups.com&gt;
npm ERR! 
npm ERR! System Linux 2.6.38-8-generic
npm ERR! command ""node"" ""/usr/local/bin/npm"" ""install"" ""express""
npm ERR! 
npm ERR! Additional logging details can be found in:
npm ERR!     /home/soasme/Desktop/nodeex/npm-debug.log
npm not ok
</code></pre>

<p>Is there any thing can do help to it?
I was confused about the ""DNS server"". 
Is this means I cannot resolve the url of update?
The log file is written belows:</p>

<pre><code>info it worked if it ends with ok
verbose cli [ 'node', '/usr/local/bin/npm', 'install', 'express' ]
info using npm@1.0.9
info using node@v0.4.8
verbose config file /home/soasme/.npmrc
verbose config file /usr/local/etc/npmrc
verbose into /home/soasme/Desktop/nodeex [ 'express' ]
verbose cache add [ 'express', null ]
info addNamed [ 'express', '' ]
verbose addNamed [ null, '' ]
verbose GET express
verbose raw, before any munging express
verbose url resolving [ 'http://registry.npmjs.org/', './express' ]
verbose url resolved http://registry.npmjs.org/express
verbose url parsed { protocol: 'http:',
verbose url parsed   slashes: true,
verbose url parsed   host: 'registry.npmjs.org',
verbose url parsed   hostname: 'registry.npmjs.org',
verbose url parsed   href: 'http://registry.npmjs.org/express',
verbose url parsed   pathname: '/express' }
ERR! Error: ECONNREFUSED, Could not contact DNS servers
ERR!     at IOWatcher.callback (dns.js:74:15)
ERR! Report this *entire* log at:
ERR!     &lt;http://github.com/isaacs/npm/issues&gt;
ERR! or email it to:
ERR!     &lt;npm-@googlegroups.com&gt;
ERR! 
ERR! System Linux 2.6.38-8-generic
ERR! command ""node"" ""/usr/local/bin/npm"" ""install"" ""express""
verbose exit [ 11, true ]
</code></pre>
",<node.js><express><npm>,0.0,0,0,1
65,65,7321071,1,7436242,515614,2.0,0.0,0.0,0.0,2011-09-06T13:53:39.977,4.0,948.0,Install Express-on-Railway JS error,"<p>I have this error when I try to install Express-on-Railway JS framework, please help:
<a href=""https://github.com/1602/express-on-railway"" rel=""nofollow"">https://github.com/1602/express-on-railway</a></p>

<pre><code>npm ERR! error installing railway@0.1.7-8 Error: Unsupported
npm ERR! error installing railway@0.1.7-8     at checkEngine (/usr/local/lib/node_modules/npm/lib/install.js:570:14)
npm ERR! error installing railway@0.1.7-8     at Array.0 (/usr/local/lib/node_modules/npm/node_modules/slide/lib/bind-actor.js:15:8)
npm ERR! error installing railway@0.1.7-8     at LOOP (/usr/local/lib/node_modules/npm/node_modules/slide/lib/chain.js:15:13)
npm ERR! error installing railway@0.1.7-8     at chain (/usr/local/lib/node_modules/npm/node_modules/slide/lib/chain.js:20:4)
npm ERR! error installing railway@0.1.7-8     at installOne_ (/usr/local/lib/node_modules/npm/lib/install.js:548:3)
npm ERR! error installing railway@0.1.7-8     at installOne (/usr/local/lib/node_modules/npm/lib/install.js:488:3)
npm ERR! error installing railway@0.1.7-8     at /usr/local/lib/node_modules/npm/lib/install.js:425:9
npm ERR! error installing railway@0.1.7-8     at /usr/local/lib/node_modules/npm/node_modules/slide/lib/async-map.js:54:35
npm ERR! error installing railway@0.1.7-8     at Array.forEach (native)
npm ERR! error installing railway@0.1.7-8     at /usr/local/lib/node_modules/npm/node_modules/slide/lib/async-map.js:54:11
npm ERR! Unsupported
npm ERR! Not compatible with your version of node/npm: express@2.4.6
npm ERR! Required: {""node"":""&gt;= 0.4.1 &lt; 0.5.0""}
npm ERR! Actual:   {""npm"":""1.0.22"",""node"":""v0.5.3-pre""}
npm ERR! 
npm ERR! System Linux 2.6.38-11-generic
npm ERR! command ""node"" ""/usr/local/bin/npm"" ""install"" ""railway"" ""-g""
npm ERR! cwd /home/gezope
npm ERR! node -v v0.5.3-pre
npm ERR! npm -v 1.0.22
...
npm not ok
</code></pre>

<p>Any help would be highly appreciated! Thanks</p>
",<node.js><express><npm>,0.0,0,0,1
72,72,7410060,1,7410117,80535,1.0,0.0,0.0,0.0,2011-09-14T00:36:59.713,3.0,5096.0,What's the best way to use TinyMCE in an express project?,"<p>I'm working on an express project that might need TinyMCE, what's the best way to use TinyMCE in an express project? Do I just follow the installation instructions, is there a special module or set of instructions I should follow? I've searched google, the tinymce forums, and here using the following search terms, nodejs,express,tinymce. Could someone please point me in the right direction? Thank you for your consideration.</p>
",<node.js><tinymce><express><npm>,0.0,0,0,1
99,99,8119027,1,8119993,131050,3.0,3.0,0.0,0.0,2011-11-14T08:35:34.150,1.0,5724.0,NPM - path to root of the application,"<p>I am developing a NPM package, which needs to require a module from the application root. Think of it as the package requiring a properties module, which is placed in the application root by the user. </p>

<p>How do I get the path to root of the application?</p>

<p><strong>UPDATE:</strong></p>

<p>To summarize what I am trying to do, express allows you to do something like this:</p>

<pre><code>app.use(express.router(myNPMModule.router));
</code></pre>

<p>The router function will get <code>app</code> as the parameter. The idea is to allow the users to specify the routes in a separate file, and they just need to follow certain conventions like putting their controllers in <code>/controllers</code> folder, and my module will be able to dynamically parse the path, and then invoke the correct method in the correct module. I have already got it working, but just realized that if I package it in NPM, I no longer have access to the path of the app, so I can't invoke a controller module's method dynamically.</p>
",<node.js><express><npm>,0.0,0,0,1
137,137,8678449,1,8980535,255240,4.0,0.0,0.0,0.0,2011-12-30T10:22:42.980,4.0,4088.0,deploy on heroku failed because npm version is not the latest,"<p>looks like heroku is using npm version 1.0.94</p>

<p>I have a dependency that require node 0.6.x, but npm 1.0.94 is 'based' on node 0.4.7</p>

<p>is there any workaround to solve this issue.</p>

<pre><code>Installing dependencies with npm 1.0.94
       npm ERR! Unsupported
       npm ERR! Not compatible with your version of node/npm: palette@0.0.1
       npm ERR! Required: {""node"":""0.6.x""}
       npm ERR! Actual:   {""npm"":""1.0.94"",""node"":""0.4.7""}
</code></pre>
",<node.js><heroku><express><npm>,0.0,0,0,1
