,Unnamed: 0,QId,QPostTypeId,QAcceptedAnswerId,QOwnerUserId,QAnswerCount,QCommentCount,QFavoriteCount,QCommunityOwnedDate,QCreationDate,QScore,QViewCount,QTitle,QBody,QTags,QStackTrace,Webpack,React,Express,Vue,Jest
11247,11247,41596721,1,0,802484,1.0,0.0,0.0,0.0,2017-01-11T17:08:44.103,4.0,1438.0,Getting absolutely NO output from Jest when running tests,"<p>Here is my package.json:</p>

<pre><code>""jest"": {
   ""cacheDirectory"": ""/tmp/jestCache"",
   ""scriptPreprocessor"": ""node_modules/babel-jest"",
   ""modulePaths"": [
      ""&lt;rootDir&gt;/app/static/react/""
   ],
   ""moduleDirectories"": [
      ""node_modules"",
      ""app/static/react/app""
   ],
   ""testPathDirs"": [
      ""app/static/react/__tests__""
   ],
   ""testRegex"": ""(.*Tests?\\.jsx?)$""
}
</code></pre>

<p>When I run <code>jest --verbose</code>, the tests run, but there is no way to communicate anything to stdout as far as I can tell except by throwing an error. <code>console.log</code> itself does not exist. I am using jest 16.0.2. I've read that there are some recent changes around automocking and console buffering, but it seems like I'm missing something more fundamental.</p>

<p>The tests otherwise run fine.</p>

<p>Working on OSX Yosemite, node 7.4, npm 4.0.5.</p>
",<reactjs><npm><jestjs><babel-jest>,0.0,0,0,0,0,1
17314,17314,48268499,1,48269830,1484120,2.0,0.0,0.0,0.0,2018-01-15T18:09:48.870,1.0,495.0,Javascript (Jest) tests on Semaphore CI ruby project,"<p>I've had a Ruby on Rails project for several years set up with Semaphore CI. The Semaphore project is set to use Ruby 2.2.2 as it's language. Over time the project adopted npm with browserify and babelify, and we're using all the latest ES6 features. We added <code>npm install</code> as a setup step to our Semaphore build, and this was working fine.</p>

<p>Now we are starting to use Jest to test our javascripts, and this is working fine locally. But when I added <code>npm test</code> to our Semaphore test commands, <code>npm test</code> fails on semaphore CI with the following errors:</p>

<pre><code>FAIL app/assets/javascripts/tests/selectors/conversations.test.js
● Test suite failed to run

SyntaxError: Unexpected token {

  at _load_jsdom (node_modules/jest/node_modules/jest-cli/node_modules/jest-environment-jsdom/build/index.js:17:41)

FAIL app/assets/javascripts/tests/reducers/conversations.test.js
● Test suite failed to run

SyntaxError: Unexpected token {
  at _load_jsdom (node_modules/jest/node_modules/jest-cli/node_modules/jest-environment-jsdom/build/index.js:17:41)

Test Suites: 2 failed, 2 total
Tests:       0 total
Snapshots:   0 total
Time:        0.65s
Ran all test suites.
npm ERR! Test failed.  See above for more details.
</code></pre>

<p>This is some relavent information from the project's <code>package.json</code>:</p>

<pre><code>""scripts"": {
  ""test"": ""jest --debug --verbose""
},
""jest"": {
  ""roots"": [
    ""&lt;rootDir&gt;/app/assets/javascripts""
  ]
},
""dependencies"": {
  ""babel-plugin-syntax-async-functions"": ""^6.3.13"",
  ""babel-plugin-transform-class-properties"": ""^6.24.1"",
  ""babel-plugin-transform-regenerator"": ""^6.3.18"",
  ""babel-polyfill"": ""^6.3.14"",
  ""babel-preset-env"": ""^1.5.2"",
  ""babel-preset-es2015"": ""^6.24.1"",
  ""babel-preset-es2016"": ""^6.24.1"",
  ""babel-preset-es2017"": ""^6.24.1"",
  ""babel-preset-react"": ""^6.3.13"",
  ""babel-preset-stage-0"": ""^6.3.13"",
  ""babelify"": ""^7.2.0"",
  ""browserify"": ""^14.0.0"",
  ""browserify-incremental"": ""^3.1.0"",
  ""es6-promise"": ""^3.0.2"",
  ""fetch"": ""^0.3.6""
},
""devDependencies"": {
  ""babel-core"": ""^6.26.0"",
  ""babel-jest"": ""^22.1.0"",
  ""babel-plugin-transform-class-properties"": ""^6.24.1"",
  ""bootstrap"": ""^4.0.0-beta.3"",
  ""browserify"": ""^14.4.0"",
  ""browserify-incremental"": ""^3.1.1"",
  ""jest"": ""^22.1.1""
}
</code></pre>

<p>This is the <code>.babelrc</code> file located in the project :</p>

<pre><code>{
  ""presets"": [""env"", ""es2015"", ""es2016"", ""es2017"", ""stage-0"", ""react""]
}
</code></pre>

<p>Locally, I am on <code>node v7.10.0</code>. I SSH'ed into my Semaphore CI session and discovered that <code>node v4.8.4</code> is installed there. I tried installing <code>node v4.8.4</code> on my local machine and with that version installed, I get the same test errors (posted above) locally as I did on CI. So this is a node version issue.</p>

<p>I added:</p>

<pre><code>""engines"": {
  ""node"": ""&gt;= 7.1.0""
}
</code></pre>

<p>to my <code>package.json</code> file, but that did not affect the node version installed on Semaphore.</p>

<p>So if I already have <code>Ruby 2.2.2</code> chosen as my language and version in the Semaphore Build Settings, how to I change my node version?</p>

<p>Thanks in advance for the help.</p>
",<node.js><npm><jestjs><babel-jest><semaphore-ci>,1.0,0,0,0,0,1
17898,17898,48846142,1,0,1772334,19.0,4.0,0.0,0.0,2018-02-17T21:33:39.630,54.0,50565.0,"jest hangs indefinitely, runs no tests","<p>Every time I run jest it never runs anything. I have let the counter go arbitrarily high. I have run jest with --no-cache</p>

<p><a href=""https://i.stack.imgur.com/N3dsO.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/N3dsO.png"" alt=""""></a></p>

<p>jest --debug output is as follows:</p>

<pre><code>{
  ""configs"": [
    {
      ""automock"": false,
      ""browser"": false,
      ""cache"": true,
      ""cacheDirectory"": ""/var/folders/7v/64n1tsk11zs2pbwf5bm_c9kc0000gn/T/jest_dx"",
      ""clearMocks"": false,
      ""coveragePathIgnorePatterns"": [
        ""/node_modules/""
      ],
      ""detectLeaks"": false,
      ""forceCoverageMatch"": [],
      ""globals"": {},
      ""haste"": {
        ""defaultPlatform"": ""ios"",
        ""platforms"": [
          ""android"",
          ""ios"",
          ""native""
        ],
        ""providesModuleNodeModules"": [
          ""react-native""
        ]
      },
      ""moduleDirectories"": [
        ""node_modules""
      ],
      ""moduleFileExtensions"": [
        ""js"",
        ""json"",
        ""jsx"",
        ""node""
      ],
      ""moduleNameMapper"": [
        [
          ""^React$"",
          ""/Users/skilurus/github/flock-react-app/node_modules/react""
        ]
      ],
      ""modulePathIgnorePatterns"": [
        ""/Users/skilurus/github/flock-react-app/node_modules/react-native/Libraries/react-native/""
      ],
      ""name"": ""b29a126b130a0be47202d3bc7b00f1b4"",
      ""resetMocks"": false,
      ""resetModules"": false,
      ""restoreMocks"": false,
      ""rootDir"": ""/Users/skilurus/github/flock-react-app"",
      ""roots"": [
        ""/Users/skilurus/github/flock-react-app""
      ],
      ""runner"": ""jest-runner"",
      ""setupFiles"": [
        ""/Users/skilurus/github/flock-react-app/node_modules/regenerator-runtime/runtime.js"",
        ""/Users/skilurus/github/flock-react-app/node_modules/react-native/jest/setup.js"",
        ""/Users/skilurus/github/flock-react-app/test-setup.js""
      ],
      ""snapshotSerializers"": [
        ""/Users/skilurus/github/flock-react-app/node_modules/enzyme-to-json/serializer.js""
      ],
      ""testEnvironment"": ""/Users/skilurus/github/flock-react-app/node_modules/jest-environment-jsdom/build/index.js"",
      ""testEnvironmentOptions"": {},
      ""testLocationInResults"": false,
      ""testMatch"": [
        ""**/__tests__/**/*.js?(x)"",
        ""**/?(*.)(spec|test).js?(x)""
      ],
      ""testPathIgnorePatterns"": [
        ""/node_modules/"",
        ""e2e""
      ],
      ""testRegex"": """",
      ""testRunner"": ""/Users/skilurus/github/flock-react-app/node_modules/jest-jasmine2/build/index.js"",
      ""testURL"": ""about:blank"",
      ""timers"": ""real"",
      ""transform"": [
        [
          ""^.+\\.js$"",
          ""/Users/skilurus/github/flock-react-app/node_modules/babel-jest/build/index.js""
        ],
        [
          ""^[./a-zA-Z0-9$_-]+\\.(bmp|gif|jpg|jpeg|mp4|png|psd|svg|webp)$"",
          ""/Users/skilurus/github/flock-react-app/node_modules/react-native/jest/assetFileTransformer.js""
        ]
      ],
      ""transformIgnorePatterns"": [
        ""node_modules/(?!react-native|native-base|react-navigation|react-native-fabric|tipsi-stripe)""
      ],
      ""watchPathIgnorePatterns"": []
    }
  ],
  ""globalConfig"": {
    ""bail"": false,
    ""changedFilesWithAncestor"": false,
    ""collectCoverageFrom"": [
      ""src/**/*.{js,jsx}""
    ],
    ""coverageDirectory"": ""/Users/skilurus/github/flock-react-app/__coverage__"",
    ""coverageReporters"": [
      ""json"",
      ""lcov"",
      ""text""
    ],
    ""coverageThreshold"": {
      ""global"": {
        ""branches"": 70,
        ""functions"": 75,
        ""lines"": 85,
        ""statements"": 80
      }
    },
    ""detectLeaks"": false,
    ""expand"": false,
    ""globalSetup"": null,
    ""globalTeardown"": null,
    ""listTests"": false,
    ""mapCoverage"": false,
    ""maxWorkers"": 7,
    ""noStackTrace"": false,
    ""nonFlagArgs"": [],
    ""notify"": false,
    ""notifyMode"": ""always"",
    ""passWithNoTests"": false,
    ""rootDir"": ""/Users/skilurus/github/flock-react-app"",
    ""runTestsByPath"": false,
    ""testFailureExitCode"": 1,
    ""testPathPattern"": """",
    ""testResultsProcessor"": null,
    ""updateSnapshot"": ""new"",
    ""useStderr"": false,
    ""verbose"": true,
    ""watch"": false,
    ""watchman"": true
  },
  ""version"": ""22.3.0""
}
</code></pre>

<p>node --version: 8.9.4</p>

<p>npm --version: 5.6.0</p>

<p>yarn --version 1.3.2</p>

<p>Has anybody seen anything similiar? Does anybody know hot to fix this?</p>
",<node.js><testing><npm><jestjs><babel-jest>,0.0,0,0,0,0,1
23222,22899,53466578,1,0,4884334,1.0,2.0,0.0,0.0,2018-11-25T10:25:40.283,2.0,531.0,"Getting Error in Project during start project with Npm start, Project created with create-react-app","<p>I am using ubantu 16 OS and i have installed </p>

<blockquote>
  <p>Node version v10.13.0 and npm version 6.4.1</p>
</blockquote>

<p>I am creating Reactjs project based on <a href=""https://github.com/facebook/create-react-app"" rel=""nofollow noreferrer"">create-react-app</a>.</p>

<p>I have created project using command </p>

<pre><code>sudo npm init react-app my-app
</code></pre>

<p>This command successfully created my-app, but when i am running project using <strong>npm start</strong>
command under my-app folder i am getting following error</p>

<pre><code>&gt; my-app@0.1.0 start /home/karan/workspace/1425/my-app
&gt; react-scripts start


There might be a problem with the project dependency tree. It is likely not a bug in Create React App, but something you need to fix locally.

The react-scripts package provided by Create React App requires a dependency:

  ""babel-jest"": ""23.6.0""

Don't try to install it manually: your package manager does it automatically. However, a different version of babel-jest was detected higher up in the tree:

  /home/karan/workspace/node_modules/babel-jest (version: 22.4.4) 

Manually installing incompatible versions is known to cause hard-to-debug issues.

If prefer to ignore this check, add SKIP_PREFLIGHT_CHECK=true to an .env file in your project. That will permanently disable this message but you might encounter other issues.

To fix the dependency tree, try following the steps below in the exact order:

  1. Delete package-lock.json (not package.json!) and/or yarn.lock in your project folder.
  2. Delete node_modules in your project folder.
  3. Remove ""babel-jest"" from dependencies and/or devDependencies in the package.json file in your project folder.
  4. Run npm install or yarn, depending on the package manager you use.

In most cases, this should be enough to fix the problem. If this has not helped, there are a few other things you can try:

  5. If you used npm, install yarn (http://yarnpkg.com/) and repeat the above steps with it instead.
     This may help because npm has known issues with package hoisting which may get resolved in future versions.

  6. Check if /home/karan/workspace/node_modules/babel-jest is outside your project directory.
     For example, you might have accidentally installed something in your home folder.

  7. Try running npm ls babel-jest in your project folder.
     This will tell you which other package (apart from the expected react-scripts) installed babel-jest.

If nothing else helps, add SKIP_PREFLIGHT_CHECK=true to an .env file in your project. That would permanently disable this preflight check in case you want to proceed anyway.

P.S. We know this message is long but please read the steps above :-) We hope you find them helpful!

npm ERR! code ELIFECYCLE npm ERR! errno 1 npm ERR! my-app@0.1.0 start: `react-scripts start` npm ERR! Exit status 1 npm ERR!  npm ERR! Failed at the my-app@0.1.0 start script. npm ERR! This is probably not a problem with npm. There is likely additional logging output above.
</code></pre>

<p>As this is showing issue related </p>

<blockquote>
  <p>react-scripts start ,""babel-jest"": ""23.6.0""</p>
</blockquote>

<p>but i am new to js framework(node/npm/react), how this problem will resolve please help? </p>

<p><strong>package.json</strong> </p>

<pre><code>{
  ""name"": ""my-app"",
  ""version"": ""0.1.0"",
  ""private"": true,
  ""dependencies"": {
    ""react"": ""^16.6.3"",
    ""react-dom"": ""^16.6.3"",
    ""react-scripts"": ""2.1.1""
  },
  ""scripts"": {
    ""start"": ""react-scripts start"",
    ""build"": ""react-scripts build"",
    ""test"": ""react-scripts test"",
    ""eject"": ""react-scripts eject""
  },
  ""eslintConfig"": {
    ""extends"": ""react-app""
  },
  ""browserslist"": [
    ""&gt;0.2%"",
    ""not dead"",
    ""not ie &lt;= 11"",
    ""not op_mini all""
  ]
}
</code></pre>
",<node.js><reactjs><npm><babel-jest>,0.0,0,0,0,0,1
26533,26210,56595053,1,57241607,10982622,13.0,0.0,0.0,0.0,2019-06-14T09:15:42.950,62.0,81913.0,Cannot find name 'it' in Jest TypeScript,"<p>I try to create an intial setup for Jest in React + TypeScript. I have completed the initial setup and try to check whether the test runs.
When I run the test using the command <code>npm test</code>, I am getting the following error:</p>
<pre><code>Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i @types/jest` or `npm i @types/mocha`.
</code></pre>
<p>I have installed the types for Jest as well as removed the types in <code>tsconfig.json</code>, but still I am getting the same error.</p>
<pre><code>{
  &quot;compilerOptions&quot;: {
    &quot;target&quot;: &quot;es6&quot;,
    &quot;lib&quot;: [&quot;dom&quot;, &quot;dom.iterable&quot;, &quot;esnext&quot;],
    &quot;allowJs&quot;: true,
    &quot;skipLibCheck&quot;: true,
    &quot;esModuleInterop&quot;: true,
    &quot;allowSyntheticDefaultImports&quot;: true,
    &quot;strict&quot;: true,
    &quot;forceConsistentCasingInFileNames&quot;: true,
    &quot;module&quot;: &quot;esnext&quot;,
    &quot;moduleResolution&quot;: &quot;node&quot;,
    &quot;plugins&quot;: [{ &quot;name&quot;: &quot;typescript-tslint-plugin&quot; }],
    &quot;resolveJsonModule&quot;: true,
    &quot;isolatedModules&quot;: true,
    &quot;noEmit&quot;: true,
    &quot;jsx&quot;: &quot;preserve&quot;,
    &quot;pretty&quot;: true,
    &quot;baseUrl&quot;: &quot;src&quot;,
    &quot;types&quot;: [&quot;jest&quot;],
    &quot;typeRoots&quot;: [&quot;./src/types&quot;],
    &quot;suppressImplicitAnyIndexErrors&quot;: true
  },
  &quot;include&quot;: [&quot;src&quot;, &quot;node_modules/@types/jest&quot;],
  &quot;exclude&quot;: [&quot;node_modules&quot;]
}
`

</code></pre>
<p>Package.json</p>
<pre><code>
    &quot;jest&quot;: {
        &quot;transform&quot;: {
          &quot;.(ts|tsx)&quot;: &quot;ts-jest&quot;
        },
        &quot;testRegex&quot;: &quot;(/__tests__/.*|\\.(test|spec))\\.(ts|tsx|js)$&quot;,
        &quot;moduleFileExtensions&quot;: [
          &quot;ts&quot;,
          &quot;tsx&quot;,
          &quot;js&quot;
        ]
      },
      &quot;devDependencies&quot;: {
        &quot;@babel/plugin-proposal-export-default-from&quot;: &quot;^7.2.0&quot;,
        &quot;@types/enzyme&quot;: &quot;^3.9.3&quot;,
        &quot;@types/jest&quot;: &quot;^24.0.14&quot;,
        &quot;enzyme&quot;: &quot;^3.10.0&quot;,
        &quot;gh-pages&quot;: &quot;^1.2.0&quot;,
        &quot;husky&quot;: &quot;^2.2.0&quot;,
        &quot;jest&quot;: &quot;^24.8.0&quot;,
        &quot;node-sass&quot;: &quot;^4.11.0&quot;,
        &quot;prettier&quot;: &quot;^1.17.0&quot;,
        &quot;react-scripts&quot;: &quot;2.1.8&quot;,
        &quot;react-test-renderer&quot;: &quot;^16.8.6&quot;,
        &quot;stylelint&quot;: &quot;^9.3.0&quot;,
        &quot;stylelint-config-recommended-scss&quot;: &quot;^3.2.0&quot;,
        &quot;stylelint-config-standard&quot;: &quot;^18.2.0&quot;,
        &quot;stylelint-order&quot;: &quot;^0.8.1&quot;,
        &quot;stylelint-scss&quot;: &quot;^3.1.3&quot;,
        &quot;ts-jest&quot;: &quot;^24.0.2&quot;,
        &quot;tslint&quot;: &quot;^5.16.0&quot;,
        &quot;tslint-config-prettier&quot;: &quot;^1.18.0&quot;,
        &quot;tslint-plugin-prettier&quot;: &quot;^2.0.1&quot;,
        &quot;tslint-react&quot;: &quot;^4.0.0&quot;,
        &quot;tslint-react-hooks&quot;: &quot;^2.1.0&quot;
      }

</code></pre>
",<typescript><npm><jestjs><ts-jest>,0.0,0,0,0,0,1
30552,30024,60176403,1,0,1235929,2.0,4.0,0.0,0.0,2020-02-11T19:53:34.517,0.0,2031.0,"Why doesn't ""npm start"" work on brand new-crated react project?","<p>I'm using </p>

<pre><code>localhost:client davea$ npm -version
6.11.3
</code></pre>

<p>and following the advice here -- <a href=""https://stackoverflow.com/questions/53089122/issue-with-babel-jest-dependency-when-running-npm-start-in-a-react-app"">Issue with babel-jest dependency when running npm start in a React app</a> , didn't do anything to help my situation.  I want to start a completely blank project, so I tried</p>

<pre><code>npx create-react-app client
cd client
</code></pre>

<p>However when I attempt to start things, I get this error</p>

<pre><code>localhost:client davea$ npm start

&gt; client@0.1.0 start /Users/davea/Documents/workspace/chicommons/maps/client
&gt; react-scripts start


There might be a problem with the project dependency tree.
It is likely not a bug in Create React App, but something you need to fix locally.

The react-scripts package provided by Create React App requires a dependency:

  ""babel-jest"": ""^24.9.0""

Don't try to install it manually: your package manager does it automatically.
However, a different version of babel-jest was detected higher up in the tree:

  /Users/davea/Documents/workspace/node_modules/babel-jest (version: 22.4.1) 

Manually installing incompatible versions is known to cause hard-to-debug issues.

If you would prefer to ignore this check, add SKIP_PREFLIGHT_CHECK=true to an .env file in your project.
That will permanently disable this message but you might encounter other issues.

To fix the dependency tree, try following the steps below in the exact order:

  1. Delete package-lock.json (not package.json!) and/or yarn.lock in your project folder.
  2. Delete node_modules in your project folder.
  3. Remove ""babel-jest"" from dependencies and/or devDependencies in the package.json file in your project folder.
  4. Run npm install or yarn, depending on the package manager you use.

In most cases, this should be enough to fix the problem.
If this has not helped, there are a few other things you can try:

  5. If you used npm, install yarn (http://yarnpkg.com/) and repeat the above steps with it instead.
     This may help because npm has known issues with package hoisting which may get resolved in future versions.

  6. Check if /Users/davea/Documents/workspace/node_modules/babel-jest is outside your project directory.
     For example, you might have accidentally installed something in your home folder.

  7. Try running npm ls babel-jest in your project folder.
     This will tell you which other package (apart from the expected react-scripts) installed babel-jest.

If nothing else helps, add SKIP_PREFLIGHT_CHECK=true to an .env file in your project.
That would permanently disable this preflight check in case you want to proceed anyway.

P.S. We know this message is long but please read the steps above :-) We hope you find them helpful!

npm ERR! code ELIFECYCLE
npm ERR! errno 1
npm ERR! client@0.1.0 start: `react-scripts start`
npm ERR! Exit status 1
npm ERR! 
npm ERR! Failed at the client@0.1.0 start script.
npm ERR! This is probably not a problem with npm. There is likely additional logging output above.

npm ERR! A complete log of this run can be found in:
npm ERR!     /Users/davea/.npm/_logs/2020-02-11T19_49_36_594Z-debug.log
</code></pre>

<p>What else am I supposed to do to get this off the ground?</p>
",<reactjs><npm><babel-jest><npm-start>,0.0,0,0,0,0,1
32425,31897,61862533,1,0,3587229,2.0,12.0,0.0,0.0,2020-05-18T04:36:30.553,5.0,7770.0,Why does `npm test` take so long on only one test?,"<p>After <code>npx create-react-app my-app</code> I run <code>npm test</code> and I get the following:</p>

<pre><code> PASS  src/App.test.js
  ✓ renders learn react link (48ms)

Test Suites: 1 passed, 1 total
Tests:       1 passed, 1 total
Snapshots:   0 total
Time:        2.555s
Ran all test suites.

Watch Usage: Press w to show more.
</code></pre>

<p>Why does it take <code>2.5s</code> to run the entire suite, but only <code>48ms</code> to run the test?
How can I speed up this process?
Thanks!</p>

<p><strong>UPDATE</strong>: I'm running this computer:</p>

<p><a href=""https://i.stack.imgur.com/aEQvl.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/aEQvl.png"" alt=""enter image description here""></a></p>
",<reactjs><npm><jestjs><create-react-app><babel-jest>,0.0,0,1,0,0,1
38526,37998,67269799,1,0,8252883,1.0,0.0,0.0,0.0,2021-04-26T15:48:36.317,0.0,255.0,The command line threw an error while installing JEST with NPM,"<p>I just used Vite to initialize a Vue3 + TypeScript project, and then I didn't do anything else. I didn't write a line of code, I didn't modify any files.</p>
<p>I just used this command <code>npm i jest -D</code>  directly to install JEST.</p>
<p>But the command line throws an error like this:</p>
<pre><code>$ npm i jest -D    

                                            
npm WARN deprecated har-validator@5.1.5: this library is no longer supported
npm WARN deprecated node-pre-gyp@0.15.0: Please upgrade to @mapbox/node-pre-gyp: the non-scoped node-pre-gyp package is deprecated and only the @mapbox scoped package will recieve updates in the future
npm ERR! code 1
npm ERR! path /Users/apple/Desktop/project/vue3-jest/node_modules/canvas
npm ERR! command failed
npm ERR! command sh -c node-gyp rebuild
npm ERR! gyp info it worked if it ends with ok
npm ERR! gyp info using node-gyp@7.1.2
npm ERR! gyp info using node@12.16.1 | darwin | x64
npm ERR! gyp info find Python using Python version 3.9.0 found at &quot;/usr/local/bin/python3&quot;
npm ERR! gyp info spawn /usr/local/bin/python3
npm ERR! gyp info spawn args [
npm ERR! gyp info spawn args   '/usr/local/lib/node_modules/npm/node_modules/node-gyp/gyp/gyp_main.py',
npm ERR! gyp info spawn args   'binding.gyp',
npm ERR! gyp info spawn args   '-f',
npm ERR! gyp info spawn args   'make',
npm ERR! gyp info spawn args   '-I',
npm ERR! gyp info spawn args   '/Users/apple/Desktop/project/vue3-jest/node_modules/canvas/build/config.gypi',
npm ERR! gyp info spawn args   '-I',
npm ERR! gyp info spawn args   '/usr/local/lib/node_modules/npm/node_modules/node-gyp/addon.gypi',
npm ERR! gyp info spawn args   '-I',
npm ERR! gyp info spawn args   '/Users/apple/Library/Caches/node-gyp/12.16.1/include/node/common.gypi',
npm ERR! gyp info spawn args   '-Dlibrary=shared_library',
npm ERR! gyp info spawn args   '-Dvisibility=default',
npm ERR! gyp info spawn args   '-Dnode_root_dir=/Users/apple/Library/Caches/node-gyp/12.16.1',
npm ERR! gyp info spawn args   '-Dnode_gyp_dir=/usr/local/lib/node_modules/npm/node_modules/node-gyp',
npm ERR! gyp info spawn args   '-Dnode_lib_file=/Users/apple/Library/Caches/node-gyp/12.16.1/&lt;(target_arch)/node.lib',
npm ERR! gyp info spawn args   '-Dmodule_root_dir=/Users/apple/Desktop/project/vue3-jest/node_modules/canvas',
npm ERR! gyp info spawn args   '-Dnode_engine=v8',
npm ERR! gyp info spawn args   '--depth=.',
npm ERR! gyp info spawn args   '--no-parallel',
npm ERR! gyp info spawn args   '--generator-output',
npm ERR! gyp info spawn args   'build',
npm ERR! gyp info spawn args   '-Goutput_dir=.'
npm ERR! gyp info spawn args ]
npm ERR! /bin/sh: pkg-config: command not found
npm ERR! gyp: Call to 'pkg-config pixman-1 --libs' returned exit status 127 while in binding.gyp. while trying to load binding.gyp
npm ERR! gyp ERR! configure error 
npm ERR! gyp ERR! stack Error: `gyp` failed with exit code: 1
npm ERR! gyp ERR! stack     at ChildProcess.onCpExit (/usr/local/lib/node_modules/npm/node_modules/node-gyp/lib/configure.js:351:16)
npm ERR! gyp ERR! stack     at ChildProcess.emit (events.js:311:20)
npm ERR! gyp ERR! stack     at Process.ChildProcess._handle.onexit (internal/child_process.js:275:12)
npm ERR! gyp ERR! System Darwin 18.7.0
npm ERR! gyp ERR! command &quot;/usr/local/bin/node&quot; &quot;/usr/local/lib/node_modules/npm/node_modules/node-gyp/bin/node-gyp.js&quot; &quot;rebuild&quot;
npm ERR! gyp ERR! cwd /Users/apple/Desktop/project/vue3-jest/node_modules/canvas
npm ERR! gyp ERR! node -v v12.16.1
npm ERR! gyp ERR! node-gyp -v v7.1.2
npm ERR! gyp ERR! not ok

npm ERR! A complete log of this run can be found in:
npm ERR!     /Users/apple/.npm/_logs/2021-04-26T15_35_01_442Z-debug.log
</code></pre>
<p>It makes me helpless. I don't know what the problem is.</p>
",<npm><jestjs><ts-jest><vite>,0.0,0,0,0,0,1
38806,38278,67496943,1,0,14100150,1.0,0.0,0.0,0.0,2021-05-12T03:25:03.803,-1.0,106.0,Unable to install jest using npm i jest,"<p>npm WARN deprecated urix@0.1.0: Please see <a href=""https://github.com/lydell/urix#deprecated"" rel=""nofollow noreferrer"">https://github.com/lydell/urix#deprecated</a></p>
<p>This is the warning, I am getting. Can you help ?</p>
",<jestjs><automated-tests><node-modules><npm-install><ts-jest>,0.0,0,0,0,0,1
39456,38928,68012814,1,68076880,3070192,1.0,0.0,0.0,0.0,2021-06-17T04:11:45.120,4.0,3558.0,Gitlab - jest test - Segmentation fault (core dumped),"<p>In the GitLab Runner,<br />
After all the npm modules are installed,<br />
Jest is ran for all the unit tests that are in Typescript.</p>
<p>The Jest Command is:</p>
<pre><code>jest ./API/* --verbose --coverage --detectOpenHandles --bail --ci
</code></pre>
<p>This is the error:</p>
<pre><code>Test Suites: 6 passed, 6 total
Tests:       10 passed, 10 total
Snapshots:   1 passed, 1 total
Time:        22.953 s
Ran all test suites matching ./API/**.
Segmentation fault (core dumped)

Cleaning up file based variables
ERROR: Job failed: exit code 1

</code></pre>
<p>Thats the end of the script, So the tests pass, but then it fails afterwards because of the <code>Segmentation fault (core dumped)</code></p>
<p>Just before the test start, the memory is this:</p>
<pre><code>MEMORY UPDATE
              total        used        free      shared  buff/cache   available
Mem:           3693         519         338         199        2836        2695
Filesystem      Size  Used Avail Use% Mounted on
overlay          22G  6.9G   15G  33% /
CPU(s):              1
</code></pre>
<p>How would I fix this?</p>
",<npm><jestjs><gitlab-ci><gitlab-ci-runner><ts-jest>,0.0,0,0,0,0,1
