,Unnamed: 0,QId,QPostTypeId,QAcceptedAnswerId,QOwnerUserId,QAnswerCount,QCommentCount,QFavoriteCount,QCommunityOwnedDate,QCreationDate,QScore,QViewCount,QTitle,QBody,QTags,QStackTrace,Webpack,React,Express,Vue,Jest,Moment,Lodash
3706,3706,29554526,1,29554727,2084798,1.0,2.0,0.0,0.0,2015-04-10T06:11:33.120,0.0,310.0,Lodash forEach function won't line break yeoman generator integration,"<p>in my yeoman generator's index.js file I have this code snippet</p>

<pre><code>this.fs.copyTpl(
    this.templatePath('/index2.html'),
    this.destinationPath('app/index2.html'), {
        title: [this.templatedata.test1, this.applicationName],
        h1: this.applicationName
    }
);
</code></pre>

<p>I am trying to run this lodash forEach statement in my html file and it won't line break no matter what I try. </p>

<pre><code>&lt;% _.forEach(title, function(title) { %&gt;&lt;li&gt;&lt;%- title %&gt;&lt;/li&gt;\n&lt;% }); %&gt;
</code></pre>

<p>The result is: </p>

<pre><code>&lt;li&gt;Star Wars!&lt;/li&gt;\n&lt;li&gt;Foundation5Application&lt;/li&gt;\n
</code></pre>

<p>What I expect is</p>

<pre><code>&lt;li&gt;Star Wars!&lt;/li&gt;
&lt;li&gt;Foundation5Application&lt;/li&gt;
</code></pre>

<p>Is there anything I can do to correct this forEach statement? </p>
",<node.js><npm><yeoman><lodash><yeoman-generator>,0.0,0,0,0,0,0,0,1
4084,4084,30638032,1,30655493,305019,1.0,0.0,0.0,0.0,2015-06-04T07:53:08.580,6.0,1684.0,how to integrate a lodash custom build into a project,"<p>lodash supports <a href=""https://lodash.com/custom-builds"" rel=""noreferrer"">custom builds</a> with only a subset of the functionality / size. Creating a custom build is a breeze with <code>lodash-cli</code>.</p>

<p>What's the recommended way to take this custom build and integrate it into the project? (using npm / browserify). </p>

<p>Do I create a custom build command that creates the custom build and places it somewhere? (where?)</p>

<p>Is there a canonical way to specify the dependency and integrate into the project?</p>
",<npm><browserify><lodash><package.json>,0.0,0,0,0,0,0,0,1
4160,4160,30808727,1,30816330,116395,1.0,0.0,0.0,0.0,2015-06-12T17:14:43.477,4.0,710.0,lodash npm distribution in browser,"<p>I'm using lodash in my tests, Not using webpack or browserify (don't need to).</p>

<p>I found that the default npm build differs from what's in bower. I could of course use bower version, but I'm curious if I can use npm's instead (it's already there for Gulp).</p>

<p>For bower I could just add this line to karma.conf:</p>

<pre><code>bower_components/lodash/lodash.js
</code></pre>

<p>but in default npm distro there's no lodash.js. Of course I can always build whatever version I want using lodash cli. But maybe there's even easier way, say maybe I need to add more than just one file from <code>node_modules/lodash</code>?</p>
",<npm><karma-runner><bower><lodash>,0.0,0,0,0,0,0,0,1
4499,4499,31569928,1,32534417,2455857,2.0,1.0,0.0,0.0,2015-07-22T17:21:47.477,0.0,1668.0,Where is lodash.js after install via npm?,"<p>I ran npm insall lodash but I can't find the lodash.js file to include in the browser.  I realize I can just download lodash.js but I would prefer to use npm if possible.</p>
",<javascript><npm><lodash>,0.0,0,0,0,0,0,0,1
4553,4553,31678426,1,31678546,2961027,1.0,0.0,0.0,0.0,2015-07-28T13:56:03.757,0.0,1029.0,nodejs - npm install dependency if module doesn't exist in parent,"<p>I have a use case where my project has dependency on Lodash, and then there are other node_modules which further have dependency on Lodash.</p>

<p>When I do 'npm install' on my project. Lodash gets installed two times,
one for my 'project/node_modules/lodash' and second for my dependency 'project/node_modules/dependency-1/node_modules/lodash'.</p>

<p>I am thinking if it is possible to have 'lodash' dependency installed in my project's root only? When that happens, my dependency will try to load parent's node_module/lodash instead of its own. </p>

<p>This should save me some Module loading in memory.</p>

<p>Sine Module caching is based on FilePath, I don't want to keep two instances of Lodash loaded in memory, one for parent directory and one for dependency itself.</p>
",<node.js><npm><lodash>,0.0,0,0,0,0,0,0,1
4831,4831,32407862,1,0,5302482,0.0,3.0,0.0,0.0,2015-09-04T23:21:36.797,2.0,468.0,NPM installs older version & doesn't fully installs recursive dependencies,"<p>In a project I inherited, the packages.json looks roughly like this:</p>

<pre><code>{
  ""name"": ""..."",
  ""version"": ""..."",
  ""description"": """",
  ""author"": ""..."",
  ""license"": ""ISC"",
  ""dependencies"": {
    ""lodash"": ""^3.10.1"",
    ""assemble"": ""^0.4.37"",
    ""cheerio"": ""^0.16.0"",
    ""grunt"": ""^0.4.4"",
    ""grunt-build-control"": ""^0.1.3"",

  },
  ""keywords"": [
    ""handlebars-helper-md"",
    ""handlebars-helper-rel""
  ]
}
</code></pre>

<p>When I first got it, <code>lodash</code> was <code>~2.4.1</code> and I'm trying to update it to <code>3.10.1</code> (as shown above). However, <code>npm</code> continues to install <code>2.4.1</code> at the top-level (Despite the <code>package.json</code> requesting the newer version) and it does not install the requested versions <code>2.4.1</code> or <code>2.4.2</code> in some of the dependencies (like <code>assemble</code> and <code>cheerio</code>). Thus when I <code>npm install lodash@3.10.1</code> it complains about unmet dependencies. </p>

<p>I've tried removing <code>node_modules</code> and <code>npm clear cache</code> and <code>rm -rf $HOME/.npm</code> in different orders and combinations with no change.</p>

<p>How do I get <code>lodash@3.10.1</code> to install at the top-level and the requested version of <code>lodash</code> in all the dependencies (and not have the dependencies use the top-level copy of <code>lodash</code> -- which I thought was the normal way for <code>npm</code> to work)? </p>

<p>Preferably a solution would not require updating all the dependencies to new versions (assuming that is even possible). That could be a solution, but that would require a lot more validation to make sure nothing broke. </p>
",<json><node.js><dependencies><npm><lodash>,0.0,0,0,0,0,0,0,1
4870,4870,32497425,1,0,2178112,1.0,0.0,0.0,0.0,2015-09-10T09:00:40.377,1.0,417.0,How does lodash's modular build work? Or any commonjs modular build work?,"<p>It's my understanding that I can </p>

<p><code>npm install lodash</code></p>

<p>but then call</p>

<p><code>require('lodash/collections/each')</code></p>

<p>and only get that single function without the overhead of loading all of lodash.</p>

<p>How does that work? I can't quite figure it out looking at lodash's package.json. </p>
",<npm><lodash><commonjs>,0.0,0,0,0,0,0,0,1
5483,5483,33625209,1,33644772,3811693,2.0,8.0,0.0,0.0,2015-11-10T07:55:55.350,1.0,639.0,How to pass npm package lodash as a DI in angular js for angular-google-maps using browserify?,"<p>I am using <code>npm</code> as a package manager for my angular application and <code>Browserify</code> to include the libraries.
I am using the angular-google-maps package : <a href=""http://angular-ui.github.io/angular-google-maps"" rel=""nofollow"">http://angular-ui.github.io/angular-google-maps</a></p>

<p>I am getting :</p>

<pre><code>ReferenceError: _ is not defined
    at o (vendor.js:8)
    at Object.load (vendor.js:8)
    at $get (vendor.js:8)
    at Object.r [as invoke] (vendor.js:1)
    at vendor.js:1
    at i (vendor.js:1)
    at Object.r [as invoke] (vendor.js:1)
    at p.instance (vendor.js:2)
    at m (vendor.js:2)
    at a (vendor.js:1)
</code></pre>

<p>as error.</p>

<p>Now this how I include the js files :</p>

<pre><code>require('lodash');
require('angular-simple-logger');
require('angular-google-maps');
</code></pre>

<p>And this is how I inject them in the angular.module :</p>

<pre><code>var requires = [
        /*What to inject here?*/
        'nemLogging',
        'uiGmapgoogle-maps',
];

angular.module('mapApp',requires);
</code></pre>

<p>What to include in the  controller  :</p>

<pre><code>angular.module('mapApp').controller('mapController', 
    function($scope, uiGmapGoogleMapApi, /*What to pass here?*/){
});
</code></pre>

<p>Please guide as to what to inject in the angular app and what parameter to pass to my angular app to get rid of this error?</p>
",<angularjs><npm><browserify><lodash><angular-google-maps>,1.0,0,0,0,0,0,0,1
5692,5692,33974189,1,33974237,3475992,2.0,1.0,0.0,0.0,2015-11-28T17:23:12.547,20.0,22148.0,npm WARN deprecated lodash@2.4.2: lodash@<3.0.0 is no longer maintained,"<p>I'm getting an error when using npm to install grunt-cli globally. It's related to lodash:</p>

<pre><code>npm WARN deprecated lodash@2.4.2:
lodash@&lt;3.0.0 is no longer maintained. Upgrade to lodash@^3.0.0.
</code></pre>

<hr>

<p>Here are the versions i'm using, and the list of global packages installed.</p>

<p><strong>node:</strong> v5.1.0</p>

<p><strong>npm:</strong> v3.5.0</p>

<p><strong>npm list -g:</strong> <a href=""http://pastebin.com/NuJU3bY0"">http://pastebin.com/NuJU3bY0</a></p>

<hr>

<p>I've attempted to install the latest version of lodash (v3.10.1) globally, but I still got the error again after uninstalling my grunt-cli global package, and then re-installing my global package. Below is the installation log:</p>

<pre><code>sudo npm install lodash -g
/usr/local/lib
└── lodash@3.10.1

sudo npm install grunt-cli -g
npm WARN deprecated lodash@2.4.2: 
lodash@&lt;3.0.0 is no longer maintained. Upgrade to lodash@^3.0.0.

/usr/local/bin/grunt -&gt; /usr/local/lib/node_modules/grunt-cli/bin/grunt
/usr/local/lib
└─┬ grunt-cli@0.1.13
  ├─┬ findup-sync@0.1.3
  │ ├─┬ glob@3.2.11
  │ │ ├── inherits@2.0.1
  │ │ └─┬ minimatch@0.3.0
  │ │   ├── lru-cache@2.7.3
  │ │   └── sigmund@1.0.1
  │ └── lodash@2.4.2
  ├─┬ nopt@1.0.10
  │ └── abbrev@1.0.7
  └── resolve@0.3.1

npm WARN In grunt-cli@0.1.13 replacing bundled version of nopt with nopt@1.0.10
npm WARN In grunt-cli@0.1.13 replacing bundled version of findup-sync with findup-sync@0.1.3
npm WARN In grunt-cli@0.1.13 replacing bundled version of resolve with resolve@0.3.1
npm WARN In grunt-cli@0.1.13 replacing bundled version of lodash with lodash@2.4.2
npm WARN In grunt-cli@0.1.13 replacing bundled version of glob with glob@3.2.11
npm WARN In grunt-cli@0.1.13 replacing bundled version of inherits with inherits@2.0.1
npm WARN In grunt-cli@0.1.13 replacing bundled version of minimatch with minimatch@0.3.0
npm WARN In grunt-cli@0.1.13 replacing bundled version of sigmund with sigmund@1.0.1
npm WARN In grunt-cli@0.1.13 replacing bundled version of lru-cache with lru-cache@2.7.3
npm WARN In grunt-cli@0.1.13 replacing bundled version of abbrev with abbrev@1.0.7
</code></pre>

<hr>

<p>Can anyone tell me what i'm doing wrong, or how to fix this error and get a clean install of grunt-cli?</p>
",<node.js><gruntjs><npm><lodash><grunt-cli>,0.0,0,0,0,0,0,0,1
5735,5735,34035682,1,34035779,3858422,2.0,0.0,0.0,0.0,2015-12-02T05:41:12.130,11.0,33943.0,How to update lodash to the latest version,"<p>I am using npm on the debian Linux flavor to install Jpm. But am getting errors about the versions of lodash installed (as follows)</p>

<pre><code>test@localhost:~# npm install jpm --global
npm WARN deprecated lodash@2.4.1: lodash@&lt;3.0.0 is no longer maintained. Upgrade to lodash@^3.0.0.
</code></pre>

<p>I have referred to few of the following links but am still unable to update the versions but still the issue persists.</p>

<p><a href=""https://github.com/lodash/lodash/tree/3.10.1-npm"">https://github.com/lodash/lodash/tree/3.10.1-npm</a></p>

<p><a href=""https://github.com/npm/npm/issues/10573"">https://github.com/npm/npm/issues/10573</a></p>

<p>Kindly suggest a solution to update the lodash version.</p>
",<javascript><node.js><npm><lodash><jpm>,0.0,0,0,0,0,0,0,1
