,Q_id
0,25294114
1,27111552
2,27592559
3,29760894
4,30824105
5,31185267
6,31820641
7,32217190
8,32381629
9,32385219
10,32638562
11,32643854
12,33272967
13,33381663
14,33731430
15,33766642
16,34051368
17,34107697
18,34409057
19,34409426
20,34435926
21,34692037
22,34700844
23,34710180
24,34868496
25,35016229
26,35062852
27,35420048
28,35424009
29,35542933
30,35766180
31,35921516
32,35932000
33,36373155
34,36473834
35,36625946
36,36783556
37,36949140
38,37157305
39,37171767
40,37229560
41,37618008
42,38006903
43,38053561
44,38116731
45,38155586
46,38190515
47,38199928
48,38280921
49,38305103
50,38319676
51,38412314
52,38419871
53,38434549
54,38443046
55,38489341
56,38511869
57,38519226
58,38697399
59,38739001
60,38857358
61,38959329
62,39019545
63,39407600
64,39424994
65,39431623
66,39553079
67,39664716
68,39678499
69,39853565
70,39854207
71,39950763
72,40071845
73,40136497
74,40206772
75,40364975
76,40440879
77,40461959
78,40550905
79,40565029
80,40567635
81,40587029
82,40752277
83,40752594
84,40903366
85,41027215
86,41040639
87,41062127
88,41104310
89,41129352
90,41186755
91,41348663
92,41535773
93,41555752
94,41692545
95,41785777
96,41786950
97,41813873
98,41833474
99,41855451
100,41878057
101,41879823
102,41904170
103,42036654
104,42109785
105,42119878
106,42122635
107,42141313
108,42196583
109,42264235
110,42276468
111,42291958
112,42319642
113,42464200
114,42467738
115,42481240
116,42501451
117,42513981
118,42522054
119,42539339
120,42608207
121,42621758
122,42664804
123,42670393
124,42671982
125,42710170
126,42729831
127,42753617
128,42847617
129,42985857
130,43129451
131,43153965
132,43160539
133,43234536
134,43252641
135,43461280
136,43464130
137,43580707
138,43635703
139,43672219
140,43855700
141,43881786
142,43905798
143,43961114
144,44002709
145,44100695
146,44114906
147,44299612
148,44318353
149,44375536
150,44392802
151,44416051
152,44456164
153,44487329
154,44528818
155,44536927
156,44591514
157,44601383
158,44697125
159,44859444
160,44885579
161,44970329
162,45019611
163,45162697
164,45178131
165,45243036
166,45275499
167,45288702
168,45295684
169,45330552
170,45471340
171,45597301
172,45702909
173,45806156
174,45882060
175,45921018
176,46052779
177,46072040
178,46166381
179,46204558
180,46247901
181,46290023
182,46364957
183,46480982
184,46554393
185,46582655
186,46613835
187,46675478
188,46780658
189,46993255
190,46999343
191,47127888
192,47212064
193,47239037
194,47316693
195,47316787
196,47414616
197,47489646
198,47569829
199,47781976
200,47793296
201,47824990
202,47892691
203,48030232
204,48227717
205,48275118
206,48318401
207,48338799
208,48354539
209,48405721
210,48487219
211,48620644
212,48637937
213,48668874
214,48745780
215,48749857
216,48764040
217,48767403
218,48803199
219,48888455
220,48910236
221,49036239
222,49047831
223,49203469
224,49250017
225,49269124
226,49358898
227,49396401
228,49405820
229,49408651
230,49416555
231,49467408
232,49603299
233,49675203
234,49705960
235,49748141
236,49771123
237,49806021
238,49894620
