,Q_id
0,26603499
1,26851120
2,27189089
3,29321647
4,29632074
5,29680723
6,29722755
7,30780057
8,30835213
9,31041331
10,31169760
11,31342153
12,31374451
13,31584310
14,31611527
15,32050882
16,32058299
17,32238041
18,32242072
19,32314010
20,32346637
21,32891778
22,33236503
23,33349452
24,33425276
25,33437271
26,33500823
27,33529503
28,33630754
29,33649761
30,33711512
31,33732066
32,33744952
33,33793504
34,33820139
35,33946623
36,33969292
37,34018271
38,34097168
39,34114659
40,34114935
41,34115533
42,34150033
43,34159119
44,34230275
45,34240512
46,34297788
47,34312259
48,34354131
49,34360579
50,34427663
51,34456753
52,34479372
53,34521426
54,34558246
55,34581116
56,34607345
57,34742214
58,34746304
59,34747717
60,34823654
61,34872856
62,34965621
63,35019009
64,35030382
65,35048136
66,35054082
67,35060512
68,35076657
69,35122717
70,35125433
71,35126893
72,35131367
73,35254096
74,35273956
75,35305772
76,35324660
77,35533099
78,35534537
79,35586952
80,35661976
81,35709615
82,35711406
83,35753144
84,35757799
85,35792879
86,35810172
87,35820607
88,35875467
89,35978599
90,35989956
91,36088572
92,36194069
93,36250125
94,36380468
95,36436804
96,36461392
97,36477555
98,36507147
99,36512867
100,36559850
101,36595268
102,36724785
103,36771499
104,36802615
105,36809425
106,36814412
107,36849895
108,36938245
109,36945764
110,36970943
111,36993897
112,37008677
113,37021225
114,37022679
115,37056891
116,37290049
117,37323199
118,37337146
119,37467764
120,37473087
121,37493331
122,37669330
123,37701399
124,37722149
125,37732167
126,37735045
127,37769228
128,37821141
129,37865451
130,37883700
131,37903292
132,37904054
133,37906791
134,38084296
135,38108468
136,38162527
137,38273528
138,38323439
139,38348095
140,38359487
141,38359855
142,38369092
143,38379019
144,38397231
145,38417126
146,38454148
147,38550152
148,38557544
149,38583943
150,38604346
151,38610824
152,38612185
153,38641667
154,38653139
155,38669089
156,38687014
157,38692795
158,38743111
159,38788166
160,38796673
161,38799364
162,38816010
163,38835669
164,38845221
165,38861249
166,38879872
167,38888612
168,38906885
169,38953126
170,38966592
171,39023078
172,39025766
173,39041855
174,39049668
175,39088648
176,39103483
177,39130526
178,39147500
179,39155740
180,39166465
181,39241526
182,39266631
183,39277673
184,39293775
185,39321399
186,39339268
187,39371446
188,39371579
189,39393630
190,39403712
191,39403853
192,39452968
193,39453315
194,39506739
195,39517035
196,39570436
197,39590307
198,39618172
199,39651065
200,39690399
201,39692275
202,39692612
203,39696430
204,39702528
205,39715493
206,39763482
207,39792672
208,39901568
209,39909084
210,39927392
211,39939923
212,39970709
213,39981669
214,40035976
215,40037085
216,40076061
217,40108578
218,40161607
219,40170408
220,40174148
221,40272187
222,40286592
223,40292178
224,40302468
225,40332933
226,40339536
227,40339877
228,40348898
229,40360641
230,40367623
231,40368015
232,40406053
233,40417929
234,40427280
235,40443480
236,40445196
237,40448437
238,40478608
239,40535692
240,40536254
241,40552953
242,40553395
243,40573031
244,40619332
245,40624258
246,40637447
247,40641694
248,40650051
249,40684326
250,40700803
251,40712441
252,40719011
253,40731252
254,40747107
255,40748284
256,40749913
257,40775977
258,40788622
259,40804908
260,40881070
261,40884485
262,40893676
263,40906652
264,40933638
265,40948743
266,40950827
267,40973020
268,40982512
269,40987083
270,40992484
271,41020867
272,41038010
273,41046467
274,41130003
275,41130995
276,41135593
277,41200390
278,41202722
279,41231778
280,41241283
281,41248575
282,41254538
283,41265397
284,41272886
285,41275808
286,41284806
287,41291142
288,41294555
289,41294594
290,41299072
291,41348052
292,41359636
293,41363163
294,41367375
295,41488896
296,41506436
297,41523067
298,41576446
299,41589688
300,41589949
301,41601417
302,41667911
303,41705888
304,41730679
305,41735181
306,41873334
307,41905033
308,41928591
309,41976290
310,41982169
311,41993669
312,42004016
313,42013862
314,42040050
315,42071529
316,42152533
317,42176003
318,42181156
319,42183538
320,42208886
321,42242022
322,42256013
323,42288792
324,42360259
325,42360632
326,42411794
327,42432053
328,42443318
329,42473979
330,42540675
331,42541819
332,42582046
333,42584961
334,42623197
335,42672374
336,42675157
337,42693265
338,42710853
339,42715776
340,42719908
341,42719992
342,42734518
343,42767428
344,42779203
345,42808261
346,42830904
347,42876057
348,42890443
349,42949093
350,42977699
351,42983657
352,42994525
353,43012252
354,43037590
355,43043774
356,43043957
357,43049748
358,43079729
359,43144036
360,43155888
361,43156960
362,43173667
363,43194155
364,43212545
365,43243853
366,43244418
367,43261320
368,43366945
369,43367550
370,43376243
371,43404962
372,43421570
373,43442542
374,43474753
375,43485954
376,43493245
377,43522402
378,43524166
379,43545687
380,43559674
381,43602510
382,43618294
383,43629110
384,43668464
385,43698097
386,43704541
387,43712753
388,43733024
389,43747837
390,43789778
391,43827921
392,43832370
393,43870377
394,43897396
395,43909325
396,43911790
397,43941883
398,43965272
399,43969264
400,43984072
401,43996568
402,44031573
403,44046230
404,44051721
405,44088235
406,44098478
407,44152792
408,44152912
409,44165132
410,44174749
411,44185738
412,44206597
413,44222135
414,44232366
415,44233585
416,44247393
417,44249430
418,44273637
419,44300693
420,44311366
421,44345257
422,44382512
423,44393807
424,44394490
425,44403561
426,44417185
427,44420686
428,44433381
429,44439930
430,44462892
431,44492135
432,44492209
433,44497389
434,44541561
435,44547808
436,44592138
437,44629724
438,44656648
439,44725530
440,44733083
441,44750541
442,44751216
443,44763071
444,44804362
445,44807275
446,44821381
447,44833181
448,44845143
449,44858022
450,44872938
451,44882316
452,44891113
453,44911915
454,44922247
455,44922576
456,44932576
457,44962349
458,45008008
459,45052284
460,45056800
461,45060615
462,45072915
463,45108433
464,45124611
465,45142527
466,45144918
467,45151034
468,45165249
469,45168756
470,45174156
471,45191401
472,45195663
473,45215533
474,45219297
475,45221524
476,45237660
477,45273073
478,45280935
479,45304961
480,45332930
481,45337581
482,45360076
483,45367273
484,45376259
485,45398076
486,45399729
487,45414040
488,45420800
489,45480341
490,45486521
491,45492516
492,45499940
493,45517239
494,45534964
495,45594775
496,45610865
497,45610903
498,45643741
499,45647144
500,45652639
501,45655059
502,45661479
503,45662140
504,45673472
505,45680140
506,45683481
507,45686213
508,45686530
509,45699131
510,45723534
511,45758869
512,45774206
513,45780316
514,45784633
515,45799038
516,45819993
517,45864468
518,45879824
519,45886595
520,45934011
521,45968302
522,45982888
523,45991923
524,45997484
525,46007304
526,46032999
527,46138691
528,46157513
529,46164953
530,46200654
531,46203196
532,46219942
533,46220679
534,46301461
535,46303155
536,46308533
537,46349810
538,46352394
539,46359549
540,46364986
541,46465979
542,46512001
543,46550927
544,46610658
545,46643667
546,46661726
547,46663998
548,46671775
549,46706237
550,46707971
551,46727283
552,46746776
553,46752848
554,46758520
555,46780772
556,46786428
557,46832715
558,46854739
559,46876636
560,46880568
561,46880664
562,46899737
563,46900087
564,46914294
565,46929386
566,46965324
567,46987866
568,47038875
569,47038936
570,47061514
571,47151541
572,47169931
573,47177426
574,47181196
575,47206514
576,47210794
577,47211566
578,47220023
579,47221726
580,47224490
581,47245210
582,47301614
583,47314089
584,47327261
585,47342861
586,47343658
587,47418350
588,47425065
589,47437320
590,47486022
591,47526721
592,47540846
593,47558776
594,47633534
595,47635481
596,47640220
597,47646808
598,47651464
599,47661814
600,47685509
601,47711951
602,47712434
603,47727313
604,47730813
605,47737892
606,47738178
607,47743880
608,47758606
609,47800766
610,47825801
611,47840772
612,47879051
613,47926626
614,47966365
615,47974825
